subscription_id,month,Cost
c126fcfe-1213-40e3-936a-ftt34326tt25,2022-01-12,65.14944
a3bae1f9-7379-434f-9643-000e4996c205,2022-01-12,65.263
t9042t33-456b-4e76-93fc-23732t31a304,2022-01-12,71.0576
26167t91-3att-4tc3-a367-f65cff319f31,2022-01-12,44.672
a101etc3-39bf-446b-3t6t-1b3bf51b2255,2022-01-12,170.661
3t36a7et-c65b-419b-ba15-6606c4237306,2022-01-12,92.834
713f4f1c-3303-479c-a3ac-3695b3t3015f,2022-01-12,89.58048
61273e51-9t63-4695-33t1-5036203et33c,2022-01-12,66.659
a351f2ae-3230-473c-a0b1-ea1533e93c06,2022-01-12,81.4368
65715ta0-9a3f-42e4-30e7-95a0712c706a,2022-01-12,7.02
b5tf0b16-23f3-447b-a5a4-9696fcbec33e,2022-01-12,64.51072
fcf3222t-e654-493t-96ac-f5b2c30f7375,2022-01-12,83.35296
151763ft-b2bf-4e64-3779-0333f173a062,2022-01-12,67.0656
a93fba17-ce12-45f6-b396-26ft7a96b997,2022-01-12,45.5088
60tf6b47-ffe3-4142-a749-39f55f95499c,2022-01-12,166.124
eb25fft3-7336-4t05-97t2-3a33b0t4cbe6,2022-01-12,63.55264
47t1951c-3e04-47e3-349a-959b0bb53a5b,2022-01-12,41.531
17a3314b-312c-446t-35f2-f3tcaet57034,2022-01-12,110.982
b793bc43-461a-4ttc-3929-e7c37afa7b52,2022-01-12,87.34496
7tatc6f3-e26t-4562-3ec7-6bc3170t1ce1,2022-01-12,46.46688
eb1724f4-e64b-432c-bttf-t61ett3f92b5,2022-01-12,95.975
913e3052-e1cf-4b76-a6b2-e43t30t06454,2022-01-12,94.928
bfc452ec-1431-4fet-b45t-6teaaac3f024,2022-01-12,142.741
24704ac7-012f-445e-b14f-afte95cf6990,2022-01-12,17.16
4b22t951-ta7b-420t-9t46-e5062tcb3f64,2022-01-12,88.297
413ef69c-c441-42a1-944b-cbef61ae77cb,2022-01-12,38.00384
fe375256-f225-419a-be33-03c4742b0t3b,2022-01-12,67.54464
fe4cc934-3t44-4314-aa1f-aae4et1ab413,2022-01-12,171.359
bf35a203-77cb-4aca-a1f4-0f060be79341,2022-01-12,91.0176
3f4at0fc-e91a-406f-bat5-b919abe43cat,2022-01-12,77.12544
7175722e-b513-4e33-b295-14a4e0f92349,2022-01-12,142.741
3399afa3-4cba-4213-ac13-abba7tb7e933,2022-01-12,45.021
0e3t0efb-6b00-46tf-3t33-3933c3e33333,2022-01-12,47.115
ace333c1-4447-4924-a517-7e9b0t4eea24,2022-01-12,66.42688
6t2e07f9-teb9-41ft-b03f-te1aatet7aa5,2022-01-12,33.37312
b663ae09-fb9c-4te6-3960-ab1a3262f500,2022-01-12,40.135
af64ea96-c557-4t69-9564-7beb374396c9,2022-01-12,74.41088
b779t2f1-ct04-4f3b-bt3f-a06fc635c23c,2022-01-12,51.41696
7t352052-3e5t-43t7-932b-9620034451t3,2022-01-12,45.37
30tb7aec-5ce9-4cbc-b0tc-0360ebc3f621,2022-01-12,87.25
e40f35b9-9694-4e03-3aeb-c7ce33tce3f0,2022-01-12,160.191
36affecc-b6b1-4103-9313-3ff91b05fa24,2022-01-12,139.6
59fct1ba-f3cb-4556-b3b5-79c6762ccec9,2022-01-12,13.041
c01a40aa-t0t7-4eb7-bc70-91073b1f176a,2022-01-12,168.916
c35a4653-992c-43t3-9a1b-219aca91e03f,2022-01-12,132.62
b3f57eff-f47t-4947-be69-306b30fb00ft,2022-01-12,8.619
a515bt4c-b7ee-43c3-3eb6-45f6f1713736,2022-01-12,16.974
3345e0b3-5231-4642-9766-53ee5691ft3f,2022-01-12,120.754
3cbef2c1-1f4a-4bb4-b63e-bt75963bceca,2022-01-12,80.619
9191a6ac-276b-45c1-b72b-32c5220f5c7a,2022-01-12,129.828
92c5230e-1a2c-4atc-bb2t-5eb2e213a9te,2022-01-12,41.19744
5ae5afef-9b67-4f57-3b3a-fcbf9b9334t7,2022-01-12,64.19136
e991cc6e-443c-4b3b-3931-506243f4f3be,2022-01-12,98.069
b37cfe9t-1637-4b7t-3b2b-cae2bf96e096,2022-01-12,44.39104
4363cfae-5111-4329-ae2c-1a9et2a24f3e,2022-01-12,174.151
3aa23702-0699-4ett-b900-507tf36544b5,2022-01-12,68.055
0e373143-5ttb-431b-ac5t-1c60t2b9c395,2022-01-12,43.912
c903ca6c-1025-4fa9-aa16-6a2232759ec0,2022-01-12,134.714
651eae7b-7a1c-4636-31aa-ct1c3c3691a3,2022-01-12,151.815
t20f924e-0250-40e3-b1ft-1140a0ba2b1e,2022-01-12,120.056
c2605c13-4979-451a-36a1-4a3c91fe6366,2022-01-12,81.4368
14b0a194-f0f5-44fe-bfet-1723t49c6276,2022-01-12,95.64832
02323929-4c3a-4b42-9et0-333fbaeec26e,2022-01-12,36.40704
372a140a-730a-43ae-9430-2a95bb44739b,2022-01-12,34.65056
